state,year,month,new_cases,new_deaths,year-month,case_id
AK,2020,Apr,225,7,2020-04,0
AK,2020,Aug,1988,13,2020-08,1
AK,2020,Dec,14012,97,2020-12,2
AK,2020,Feb,0,0,2020-02,3
AK,2020,Jan,0,0,2020-01,4
AK,2020,Jul,2467,12,2020-07,5
AK,2020,Jun,502,3,2020-06,6
AK,2020,Mar,149,3,2020-03,7
AK,2020,May,144,0,2020-05,8
AK,2020,Nov,16550,37,2020-11,9
AK,2020,Oct,9240,31,2020-10,10
AK,2020,Sep,2551,17,2020-09,11
AK,2021,Apr,5240,34,2021-04,12
AK,2021,Aug,12121,55,2021-08,13
AK,2021,Dec,11378,98,2021-12,14
AK,2021,Feb,3557,22,2021-02,15
AK,2021,Jan,5477,59,2021-01,16
AK,2021,Jul,5522,16,2021-07,17
AK,2021,Jun,834,8,2021-06,18
AK,2021,Mar,3954,10,2021-03,19
AK,2021,May,1545,21,2021-05,20
AK,2021,Nov,10375,144,2021-11,21
AK,2021,Oct,20466,152,2021-10,22
AK,2021,Sep,29589,136,2021-09,23
AK,2022,Apr,5592,24,2022-04,24
AK,2022,Aug,6214,29,2022-08,25
AK,2022,Dec,1933,19,2022-12,26
AK,2022,Feb,16850,98,2022-02,27
AK,2022,Jan,58162,114,2022-01,28
AK,2022,Jul,9101,5,2022-07,29
AK,2022,Jun,10930,0,2022-06,30
AK,2022,Mar,8092,37,2022-03,31
AK,2022,May,7061,22,2022-05,32
AK,2022,Nov,1417,23,2022-11,33
AK,2022,Oct,1596,20,2022-10,34
AK,2022,Sep,3660,52,2022-09,35
AK,2023,Apr,1187,0,2023-04,36
AK,2023,Feb,2701,13,2023-02,37
AK,2023,Jan,2566,18,2023-01,38
AK,2023,Mar,2441,19,2023-03,39
AK,2023,May,199,0,2023-05,40
AL,2020,Apr,7594,315,2020-04,41
AL,2020,Aug,32917,517,2020-08,42
AL,2020,Dec,127357,1279,2020-12,43
AL,2020,Feb,0,0,2020-02,44
AL,2020,Jan,0,0,2020-01,45
AL,2020,Jul,55676,720,2020-07,46
AL,2020,Jun,20693,324,2020-06,47
AL,2020,Mar,1175,26,2020-03,48
AL,2020,May,10185,309,2020-05,49
AL,2020,Nov,57901,705,2020-11,50
AL,2020,Oct,44155,473,2020-10,51
AL,2020,Sep,26532,319,2020-09,52
AL,2021,Apr,14106,381,2021-04,53
AL,2021,Aug,108604,732,2021-08,54
AL,2021,Dec,85944,362,2021-12,55
AL,2021,Feb,32083,1825,2021-02,56
AL,2021,Jan,80876,3214,2021-01,57
AL,2021,Jul,44837,210,2021-07,58
AL,2021,Jun,6391,189,2021-06,59
AL,2021,Mar,18209,521,2021-03,60
AL,2021,May,15129,233,2021-05,61
AL,2021,Nov,12825,472,2021-11,62
AL,2021,Oct,29230,1056,2021-10,63
AL,2021,Sep,99831,2320,2021-09,64
AL,2022,Apr,5518,220,2022-04,65
AL,2022,Aug,55194,157,2022-08,66
AL,2022,Dec,37939,124,2022-12,67
AL,2022,Feb,52306,1119,2022-02,68
AL,2022,Jan,297050,713,2022-01,69
AL,2022,Jul,56841,125,2022-07,70
AL,2022,Jun,51636,102,2022-06,71
AL,2022,Mar,14680,1036,2022-03,72
AL,2022,May,14130,74,2022-05,73
AL,2022,Nov,14998,94,2022-11,74
AL,2022,Oct,12152,136,2022-10,75
AL,2022,Sep,42530,374,2022-09,76
AL,2023,Apr,6170,6,2023-04,77
AL,2023,Feb,24212,119,2023-02,78
AL,2023,Jan,30626,106,2023-01,79
AL,2023,Mar,10407,130,2023-03,80
AL,2023,May,1297,1,2023-05,81
AR,2020,Apr,3407,98,2020-04,82
AR,2020,Aug,17366,340,2020-08,83
AR,2020,Dec,80131,1380,2020-12,84
AR,2020,Feb,7,0,2020-02,85
AR,2020,Jan,1,0,2020-01,86
AR,2020,Jul,23215,455,2020-07,87
AR,2020,Jun,13065,234,2020-06,88
AR,2020,Mar,731,31,2020-03,89
AR,2020,May,4566,113,2020-05,90
AR,2020,Nov,46497,963,2020-11,91
AR,2020,Oct,32024,798,2020-10,92
AR,2020,Sep,20937,559,2020-09,93
AR,2021,Apr,6337,94,2021-04,94
AR,2021,Aug,61919,799,2021-08,95
AR,2021,Dec,57863,678,2021-12,96
AR,2021,Feb,24378,206,2021-02,97
AR,2021,Jan,57638,658,2021-01,98
AR,2021,Jul,45412,777,2021-07,99
AR,2021,Jun,7722,138,2021-06,100
AR,2021,Mar,6954,138,2021-03,101
AR,2021,May,4916,76,2021-05,102
AR,2021,Nov,15317,290,2021-11,103
AR,2021,Oct,14832,313,2021-10,104
AR,2021,Sep,44543,500,2021-09,105
AR,2022,Apr,3909,88,2022-04,106
AR,2022,Aug,24596,185,2022-08,107
AR,2022,Dec,17164,134,2022-12,108
AR,2022,Feb,29040,319,2022-02,109
AR,2022,Jan,189809,1036,2022-01,110
AR,2022,Jul,34126,139,2022-07,111
AR,2022,Jun,27056,108,2022-06,112
AR,2022,Mar,10840,297,2022-03,113
AR,2022,May,7775,107,2022-05,114
AR,2022,Nov,7748,57,2022-11,115
